frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf
81,3,5,612.0,124.6,0.6014,,,,912.4,110.2,0.1153,,,,1248.9,699.8,0.1161,865.8,383.5,0.9677,1114.3,95.9,0.2532
84,3,5,626.4,111.5,0.5094,,,,923.7,97.5,0.1217,707.0,362.2,0.1011,,,,863.2,357.6,0.1962,1130.2,83.6,0.2777
84,4,5,2818.6,150.3,1.0575,,,,3138.7,487.7,0.1269,2793.8,311.6,0.3606,2967.5,157.8,0.1361,3084.1,450.5,0.8345,,,
87,4,5,2841.5,145.0,1.1975,,,,3159.1,483.1,0.1109,2810.1,308.8,0.4225,2970.6,148.5,0.1805,3099.8,441.2,1.067,,,
90,3,5,649.4,86.0,0.498,,,,,,,735.6,285.3,0.2182,720.4,72.5,0.1331,887.6,326.1,0.1165,1151.1,606.9,0.1899
90,4,3,2864.3,142.4,1.1883,,,,,,,2826.0,301.2,0.3114,,,,3120.1,442.2,0.3466,,,
93,3,4,665.6,71.7,0.4414,,,,,,,746.6,277.8,0.2864,,,,918.9,322.6,0.5746,1162.2,591.5,0.2003
93,4,3,2886.6,139.6,1.0797,,,,,,,2846.2,293.3,0.363,,,,3142.4,439.0,0.6002,,,
96,3,6,684.7,64.2,0.2208,,,,1324.9,555.0,0.1184,760.0,270.6,0.2396,1319.5,564.1,0.1127,921.4,311.9,0.6434,1168.9,577.9,0.2192
96,4,4,2910.8,139.5,1.1873,2857.5,294.0,0.122,,,,2869.0,286.5,0.3922,,,,3166.0,437.2,0.7007,,,
99,3,5,,,,,,,1348.5,552.5,0.1226,771.4,263.1,0.1987,1333.3,556.8,0.1611,933.4,298.2,0.1212,1181.4,570.0,0.2349
102,3,5,706.9,47.9,0.1403,,,,,,,777.6,261.3,0.2191,989.6,135.0,0.1759,949.2,291.8,0.8326,1191.5,566.2,0.2259
105,3,6,712.5,39.1,0.1352,,,,1361.1,538.3,0.203,793.6,273.5,0.2357,1016.5,130.2,0.1459,925.3,91.2,0.4034,1199.0,555.7,0.1763
108,3,4,,,,,,,,,,803.3,284.9,0.1596,1030.3,133.8,0.199,974.8,289.3,0.2983,1201.8,544.0,0.1799
108,4,5,2992.0,154.9,1.0745,,,,3300.8,492.8,0.1043,2949.7,310.7,0.4407,2949.7,310.7,0.1042,3240.1,455.8,0.9919,,,
111,3,6,1387.8,573.7,0.1517,,,,1398.0,565.0,0.1112,1230.5,721.5,0.1378,1047.7,147.8,0.2309,986.8,286.8,0.3164,1215.2,521.5,0.1152
111,4,5,3010.0,167.9,0.9842,,,,3320.3,504.5,0.1147,2970.6,320.5,0.3779,3152.0,175.8,0.1392,3257.2,467.7,1.242,,,
114,4,4,3028.7,180.4,1.0137,,,,,,,2987.0,326.3,0.3198,3166.8,180.4,0.1859,3276.3,474.9,0.7847,,,
114,3,4,,,,,,,1413.8,563.1,0.1481,,,,1064.6,154.0,0.14,992.7,285.9,0.3968,1080.0,400.3,0.1175
117,4,5,3045.3,197.7,1.0806,,,,3354.0,532.1,0.1281,3006.7,349.5,0.2744,3292.2,408.7,0.1509,3292.2,491.0,0.5469,,,
117,3,4,751.9,70.5,0.2433,,,,,,,812.8,251.0,0.121,1010.8,96.9,0.1293,,,,1178.4,510.8,0.1527
120,4,4,3062.6,220.8,1.1408,,,,,,,3026.8,371.7,0.3332,3223.7,300.0,0.1268,3303.0,512.3,0.6909,,,
120,3,6,1414.7,590.0,0.222,,,,1420.9,595.0,0.1118,811.7,295.0,0.1611,1016.9,115.0,0.146,985.8,305.0,0.1434,1166.1,515.0,0.1712
123,4,4,3076.2,246.1,1.2062,,,,,,,3040.5,399.3,0.3637,3242.1,330.4,0.105,3321.3,537.1,0.7706,,,
126,4,4,3085.1,276.4,1.1539,,,,,,,3051.8,425.0,0.4036,3220.9,281.5,0.1685,3328.6,563.4,0.8494,,,
129,4,4,3098.4,307.6,1.1808,,,,,,,3060.1,453.4,0.3873,3226.3,307.6,0.1459,3336.3,596.7,0.7426,,,
132,4,3,3110.7,340.5,1.1481,,,,,,,3066.7,482.7,0.4379,,,,3348.6,632.7,0.6988,,,
135,4,3,3124.0,371.8,0.9546,,,,,,,3073.7,509.8,0.4216,,,,3354.5,666.4,0.6091,,,
138,4,3,3136.8,402.9,0.9753,,,,,,,3082.2,541.6,0.3865,,,,3357.6,692.6,0.7874,,,
141,4,5,3147.8,436.8,0.8764,3086.4,577.4,0.1199,,,,3089.0,574.9,0.4197,3089.0,574.9,0.1047,3362.6,728.3,0.6251,,,
144,4,5,3157.6,470.8,0.923,3094.7,612.5,0.1244,,,,3097.3,607.2,0.4229,3097.3,607.2,0.1024,3375.1,764.8,0.5635,,,
147,4,5,3165.0,509.9,1.031,3100.4,644.6,0.1522,,,,3102.9,644.6,0.4222,3276.2,520.2,0.1194,3379.7,797.5,0.9765,,,
150,4,3,3173.3,548.8,0.928,,,,,,,3107.2,683.6,0.3999,,,,3392.8,837.0,0.876,,,
153,4,3,3179.4,586.2,0.8469,,,,,,,3111.5,719.0,0.4049,,,,3399.4,876.3,0.9411,,,
156,4,5,3183.8,626.1,1.0323,3113.5,774.7,0.1302,,,,3116.2,761.2,0.3224,3297.3,604.5,0.1191,3402.7,907.1,1.1746,,,
159,4,5,3189.8,664.0,0.9916,3118.2,804.9,0.2363,3492.4,1025.6,0.1079,3123.5,786.3,0.1936,,,,3404.8,948.5,0.9944,,,
162,4,4,3193.1,703.7,1.0013,3122.7,833.6,0.1542,,,,3125.4,833.6,0.2737,,,,3412.4,987.9,0.6332,,,
168,4,4,3205.0,767.1,1.0939,,,,,,,3139.7,895.0,0.4207,3362.8,851.5,0.1163,3409.1,1042.0,0.8695,,,
171,4,4,3208.1,791.0,1.1094,,,,,,,3140.8,916.9,0.3892,,,,3412.7,1066.3,0.635,3465.3,1107.3,0.1108
174,4,4,3205.0,809.9,0.8205,3141.3,937.3,0.1238,,,,3145.7,932.9,0.3518,,,,3416.0,1091.1,0.6063,,,
177,4,6,3210.2,824.8,0.9466,3151.0,948.4,0.1251,,,,3153.7,948.4,0.4034,3153.7,948.4,0.1012,3417.5,1101.6,0.825,3460.6,1136.6,0.1074
180,4,4,3212.2,840.0,0.8353,3153.3,963.5,0.1811,,,,3156.1,960.7,0.3695,,,,3416.8,1109.5,0.6212,,,
183,4,4,3214.6,850.5,0.7083,3152.4,966.2,0.2409,,,,3155.2,966.2,0.3566,,,,3418.2,1121.4,1.0473,,,
186,4,4,3217.4,855.0,0.7697,3149.1,970.5,0.1916,,,,3154.4,970.5,0.3563,,,,3422.1,1128.0,0.9593,,,
189,4,4,3219.1,858.2,0.8974,3146.2,969.9,0.2027,,,,3151.4,969.9,0.3454,,,,3419.3,1128.2,0.7749,,,
189,2,1,,,,,,,,,,,,,,,,147.1,1335.0,1.0648,,,
192,4,4,3220.3,862.4,0.9664,3142.0,974.7,0.1919,,,,3149.8,969.5,0.3611,,,,3423.9,1131.3,0.8273,,,
192,2,2,,,,,,,,,,,,,117.5,1213.1,0.1064,133.2,1329.4,0.4777,,,
195,4,4,3222.3,865.2,0.8792,3148.7,979.9,0.25,,,,3155.2,982.0,0.2281,,,,3417.0,1129.2,0.3433,,,
195,2,2,,,,,,,,,,,,,114.2,1203.0,0.1294,129.9,1322.4,0.5451,,,
