frame,track_id,class_name,confidence,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
252,3,marine mammal,0.2342752367258072,3041,1801,2895.2,1654.6,3189.4,1948.1
255,3,marine mammal,0.4764675796031952,3058,1814,2903.2,1662.7,3212.9,1966.0
258,3,marine mammal,0.5942537188529968,3070,1823,2907.3,1669.4,3232.7,1978.1
261,3,whale,0.5918653607368469,3055,1817,2906.7,1676.2,3204.4,1959.2
264,3,marine mammal,0.6857369542121887,3052,1813,2910.1,1679.0,3196.6,1948.1
267,3,marine mammal,0.7055396437644958,3045,1811,2907.6,1682.6,3184.7,1940.4
270,3,marine mammal,0.5133282542228699,3102,1813,2961.2,1681.1,3244.0,1944.2
273,3,marine mammal,0.6664655804634094,3084,1818,2937.8,1689.8,3230.3,1947.4
276,3,whale,0.5780402421951294,3067,1815,2926.5,1693.5,3207.2,1937.3
279,3,marine mammal,0.879146158695221,3058,1819,2918.7,1695.0,3197.3,1943.8
282,3,marine mammal,0.5271558165550232,3074,1841,2921.6,1700.9,3225.6,1980.6
285,3,marine mammal,0.5226154923439026,3082,1854,2923.9,1704.9,3240.7,2004.4
288,3,marine mammal,0.309661865234375,3093,1866,2932.0,1710.4,3256.3,2024.6
291,3,marine mammal,0.6344869136810303,3094,1871,2934.9,1715.8,3253.5,2027.0
294,3,marine mammal,0.53608638048172,3082,1859,2934.7,1717.9,3230.7,2002.0
297,3,marine mammal,0.6637870669364929,3078,1865,2934.0,1721.7,3222.0,2008.3
300,3,marine mammal,0.5872445106506348,3085,1854,2946.5,1722.0,3223.8,1987.4
303,3,whale,0.3512347936630249,3088,1853,2949.8,1727.9,3225.9,1980.8
306,3,marine mammal,0.7163620591163635,3112,1866,2973.5,1734.8,3252.3,1999.3
309,3,marine mammal,0.4007298946380615,3100,1871,2964.4,1741.3,3236.3,2001.4
312,3,marine mammal,0.5011804103851318,3097,1864,2966.0,1740.9,3229.9,1988.4
315,3,marine mammal,0.5869007110595703,3095,1847,2964.7,1729.5,3225.5,1967.0
318,3,marine mammal,0.7140249609947205,3087,1853,2962.8,1737.9,3211.5,1969.0
321,3,marine mammal,0.5828790068626404,3083,1858,2961.4,1743.8,3204.8,1972.6
324,3,marine mammal,0.770426869392395,3076,1876,2949.5,1763.5,3203.6,1989.9
327,3,marine mammal,0.3848852515220642,3077,1869,2947.4,1752.7,3208.0,1985.4
330,3,marine mammal,0.5755428075790405,3093,1872,2962.8,1747.1,3225.7,1997.9
333,3,marine mammal,0.722212553024292,3103,1877,2974.8,1761.3,3232.5,1995.2
336,3,marine mammal,0.7933333516120911,3113,1887,2987.6,1777.2,3239.5,1998.0
339,3,marine mammal,0.6588686108589172,3141,1885,3010.9,1777.4,3271.5,1993.9
342,3,marine mammal,0.5326604247093201,3140,1893,3010.9,1785.0,3270.6,2002.7
345,3,marine mammal,0.7599023580551147,3086,1928,2966.1,1815.3,3208.1,2041.8
348,3,marine mammal,0.6975463628768921,3124,1982,3003.5,1869.3,3246.1,2096.0
351,3,marine mammal,0.5490196943283081,3148,2036,3033.1,1929.8,3265.0,2142.6
354,3,marine mammal,0.7217336297035217,3141,2087,3026.6,1983.7,3256.5,2192.5
357,3,marine mammal,0.3171007037162781,3147,2114,3026.6,2003.6,3267.4,2226.8
360,3,marine mammal,0.3171007037162781,2947,2104,2851.0,2003.6,3042.8,2205.4
363,3,marine mammal,0.3171007037162781,2935,2158,2839.7,2058.4,3030.9,2259.6
366,3,marine mammal,0.1336025446653366,-231,1772,-471.1,1441.5,9.6,2102.8
369,3,marine mammal,0.4882528781890869,-270,1767,-524.1,1456.3,-14.9,2080.2
372,3,marine mammal,0.15113507211208344,-289,1763,-543.9,1462.4,-33.7,2065.2
375,3,marine mammal,0.14289544522762299,-290,1747,-538.7,1449.4,-40.1,2046.1
378,3,marine mammal,0.3730100393295288,-306,1668,-578.5,1311.9,-33.7,2024.5
381,3,marine mammal,0.18915660679340363,-295,1609,-592.0,1220.6,2.5,1997.9
384,3,marine mammal,0.13745340704917908,-304,1557,-592.5,1144.0,-13.4,1970.2
387,3,marine mammal,0.13745340704917908,-309,1513,-602.6,1077.6,-15.6,1949.8
390,3,marine mammal,0.13745340704917908,-300,1469,-589.7,995.6,-9.5,1943.0
393,3,marine mammal,0.13745340704917908,-298,1427,-584.3,932.6,-10.7,1921.7
396,3,marine mammal,0.13745340704917908,-298,1374,-580.9,847.0,-14.8,1901.1
399,3,marine mammal,0.13745340704917908,-305,1311,-591.5,744.9,-17.9,1878.2
402,3,marine mammal,0.13745340704917908,-317,1224,-610.7,596.8,-22.7,1851.1
405,3,marine mammal,0.13745340704917908,-310,1163,-588.6,501.4,-30.0,1824.3
408,3,marine mammal,0.13745340704917908,-316,1023,-593.6,256.1,-37.6,1790.1
411,3,marine mammal,0.13745340704917908,-330,888,-609.9,24.3,-48.6,1752.0
414,3,marine mammal,0.13745340704917908,-332,745,-606.0,-220.4,-57.4,1711.2
417,3,marine mammal,0.13745340704917908,-324,647,-586.3,-372.3,-60.6,1667.6
420,3,marine mammal,0.13745340704917908,-337,529,-604.4,-569.7,-68.0,1629.8
423,3,marine mammal,0.13745340704917908,-317,520,-562.4,-555.5,-71.2,1596.2
426,3,marine mammal,0.13745340704917908,-303,490,-536.8,-583.3,-67.5,1565.1
429,3,marine mammal,0.13745340704917908,-304,462,-540.1,-607.0,-66.4,1531.8
468,3,marine mammal,0.2467339187860489,-156,1272,-360.8,1016.9,49.8,1529.7
471,3,marine mammal,0.3313123881816864,-158,1274,-364.8,1012.2,50.8,1537.0
474,3,marine mammal,0.3313123881816864,-156,1276,-363.4,1008.8,53.9,1543.6
477,3,marine mammal,0.11965303122997284,778,899,640.4,593.6,915.7,1206.1
480,3,marine mammal,0.11965303122997284,791,879,653.3,571.3,930.3,1188.6
483,3,marine mammal,0.11965303122997284,813,866,675.0,559.1,952.1,1174.3
486,3,marine mammal,0.11965303122997284,817,864,677.2,562.6,957.4,1164.9
489,3,marine mammal,0.2950773537158966,804,859,657.5,564.9,951.8,1153.8
492,3,marine mammal,0.2950773537158966,811,827,656.0,536.4,965.6,1117.8
495,3,marine mammal,0.5940718650817871,810,812,648.1,519.7,971.1,1103.5
498,3,marine mammal,0.5097982287406921,792,811,628.4,533.5,957.0,1087.7
501,3,marine mammal,0.1496809720993042,826,816,614.0,543.4,1038.5,1089.4
504,3,marine mammal,0.19115835428237915,814,791,610.6,527.5,1018.7,1055.4
507,3,marine mammal,0.33803337812423706,817,764,631.6,498.3,1004.7,1030.8
510,3,marine mammal,0.33803337812423706,804,744,609.3,485.7,999.7,1004.3
513,3,marine mammal,0.33803337812423706,780,752,583.0,504.9,978.6,999.1
516,3,marine mammal,0.11593842506408691,784,723,612.8,461.0,955.7,986.0
519,3,marine mammal,0.11593842506408691,757,762,603.7,508.4,912.7,1016.3
522,3,marine mammal,0.11593842506408691,743,738,592.9,488.9,894.1,987.4
525,3,whale,0.1821954995393753,766,716,648.9,464.6,883.4,969.2
528,3,marine mammal,0.17226578295230865,754,722,633.1,466.8,876.4,977.2
531,3,marine mammal,0.17226578295230865,756,711,645.0,452.3,867.0,970.0
534,3,marine mammal,0.11944916099309921,750,731,630.3,445.1,870.3,1017.9
537,3,marine mammal,0.2514200508594513,786,741,624.0,435.1,949.3,1049.2
540,3,marine mammal,0.11102905124425888,826,773,632.9,398.6,1019.6,1148.7
543,3,marine mammal,0.11102905124425888,814,816,609.4,434.1,1019.7,1198.7
