frame,class_name,confidence,bbox,num_merged,merged_classes
255,marine mammal,0.23587758839130402,"[0.0, 882.283447265625, 332.6087341308594, 1529.4576416015625]",2,"{'marine mammal': 0.23587758839130402, 'whale': 0.17998769879341125}"
270,marine mammal,0.7231405377388,"[0.0, 400.3742980957031, 618.7758178710938, 1069.7911376953125]",1,{'marine mammal': 0.7231405377388}
270,marine mammal,0.5133282542228699,"[3160.72412109375, 879.92138671875, 3437.87841796875, 1143.1446533203125]",2,"{'marine mammal': 0.5133282542228699, 'whale': 0.24557338654994965}"
270,marine mammal,0.33883899450302124,"[0.032684326171875, 1084.923095703125, 343.8392639160156, 1553.8594970703125]",2,"{'marine mammal': 0.20416131615638733, 'whale': 0.28743505477905273}"
270,marine mammal,0.08380317687988281,"[670.818359375, 448.0364685058594, 1140.8955078125, 923.7130737304688]",1,{'marine mammal': 0.08380317687988281}
285,marine mammal,0.8082281947135925,"[0.0, 363.4250793457031, 569.4520263671875, 1026.4547119140625]",1,{'marine mammal': 0.05461973324418068}
285,marine mammal,0.5226154923439026,"[3171.413818359375, 888.8087768554688, 3486.870849609375, 1203.956298828125]",2,"{'marine mammal': 0.5226154923439026, 'whale': 0.05930669233202934}"
285,marine mammal,0.3996180593967438,"[0.0, 839.934814453125, 337.452392578125, 1560.15234375]",1,{'marine mammal': 0.08265890181064606}
285,dorsal fin,0.06765350699424744,"[399.9762268066406, 863.2396240234375, 570.7716674804688, 1027.952880859375]",1,{'dorsal fin': 0.06765350699424744}
285,whale,0.05924537032842636,"[1454.65283203125, 1327.7545166015625, 1698.517822265625, 1564.106689453125]",1,{'whale': 0.05924537032842636}
285,marine mammal,0.05007772520184517,"[403.3058166503906, 176.96401977539062, 1085.0, 880.1098022460938]",1,{'marine mammal': 0.05007772520184517}
300,marine mammal,0.5872445106506348,"[3173.3291015625, 888.9380493164062, 3436.9306640625, 1129.455810546875]",2,"{'marine mammal': 0.16012439131736755, 'whale': 0.1883074939250946}"
300,marine mammal,0.11567068099975586,"[0.0, 955.598876953125, 278.26129150390625, 1470.144287109375]",1,{'marine mammal': 0.11567068099975586}
300,marine mammal,0.10512097179889679,"[0.0, 349.29693603515625, 520.7056884765625, 994.996826171875]",1,{'marine mammal': 0.10512097179889679}
300,dorsal fin,0.079727903008461,"[3242.996337890625, 890.8452758789062, 3418.052490234375, 1053.4281005859375]",1,{'dorsal fin': 0.079727903008461}
