frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
153,1,5,2684.0,1353.0,0.2381,2424.0,1445.0,0.1024,,,,2568.0,1321.0,0.1263,2672.0,1425.0,0.4316,2420.0,1541.0,0.36,,,
153,4,5,2684.0,1353.0,0.2381,2424.0,1445.0,0.1024,,,,2568.0,1321.0,0.1263,2672.0,1425.0,0.4316,2420.0,1541.0,0.36,,,
156,1,3,2692.0,1341.0,0.195,,,,,,,,,,2676.0,1421.0,0.2781,2552.0,1413.0,0.5283,,,
156,4,3,2692.0,1341.0,0.195,,,,,,,,,,2676.0,1421.0,0.2781,2552.0,1413.0,0.5283,,,
159,1,3,2588.0,1541.0,0.1602,,,,,,,,,,2584.0,1553.0,0.1866,2564.0,1417.0,0.5262,,,
159,4,3,2588.0,1541.0,0.1602,,,,,,,,,,2584.0,1553.0,0.1866,2564.0,1417.0,0.5262,,,
162,1,4,2600.0,1537.0,0.199,,,,,,,2592.0,1297.0,0.1105,2540.0,1573.0,0.1479,2580.0,1413.0,0.672,,,
162,4,4,2600.0,1537.0,0.199,,,,,,,2592.0,1297.0,0.1105,2540.0,1573.0,0.1479,2580.0,1413.0,0.672,,,
165,1,4,2616.0,1537.0,0.2323,2460.0,1437.0,0.1046,,,,,,,2556.0,1569.0,0.1934,2588.0,1405.0,0.3833,,,
165,4,4,2616.0,1537.0,0.2323,2460.0,1437.0,0.1046,,,,,,,2556.0,1569.0,0.1934,2588.0,1405.0,0.3833,,,
168,1,4,2628.0,1533.0,0.2647,2464.0,1433.0,0.1149,,,,,,,2576.0,1573.0,0.1831,2672.0,1241.0,0.2085,,,
168,4,4,2628.0,1533.0,0.2647,2464.0,1433.0,0.1149,,,,,,,2576.0,1573.0,0.1831,2672.0,1241.0,0.2085,,,
171,1,5,2760.0,1146.0,0.3439,2368.0,1554.0,0.1122,,,,,,,2640.0,1538.0,0.2276,2616.0,1390.0,0.562,2408.0,1562.0,0.1293
171,4,5,2760.0,1146.0,0.3439,2368.0,1554.0,0.1122,,,,,,,2640.0,1538.0,0.2276,2616.0,1390.0,0.562,2408.0,1562.0,0.1293
174,1,4,2648.0,1522.0,0.297,,,,,,,,,,2740.0,1370.0,0.1919,2504.0,1538.0,0.2889,2412.0,1566.0,0.1112
174,4,4,2648.0,1522.0,0.297,,,,,,,,,,2740.0,1370.0,0.1919,2504.0,1538.0,0.2889,2412.0,1566.0,0.1112
177,1,5,2776.0,1134.0,0.2652,,,,2664.0,1518.0,0.1044,,,,2664.0,1530.0,0.2043,2640.0,1382.0,0.2179,2424.0,1570.0,0.1287
177,4,5,2776.0,1134.0,0.2652,,,,2664.0,1518.0,0.1044,,,,2664.0,1530.0,0.2043,2640.0,1382.0,0.2179,2424.0,1570.0,0.1287
180,1,5,2784.0,1126.0,0.2889,2404.0,1554.0,0.1069,,,,,,,2644.0,1578.0,0.2618,2648.0,1386.0,0.1955,2444.0,1570.0,0.1362
180,4,5,2784.0,1126.0,0.2889,2404.0,1554.0,0.1069,,,,,,,2644.0,1578.0,0.2618,2648.0,1386.0,0.1955,2444.0,1570.0,0.1362
183,1,3,2800.0,1286.0,0.1901,,,,,,,,,,2660.0,1578.0,0.2765,2664.0,1378.0,0.2969,,,
183,4,3,2800.0,1286.0,0.1901,,,,,,,,,,2660.0,1578.0,0.2765,2664.0,1378.0,0.2969,,,
186,1,3,2812.0,1279.0,0.2327,2520.0,1455.0,0.1049,,,,,,,,,,2672.0,1371.0,0.2811,,,
186,4,3,2812.0,1279.0,0.2327,2520.0,1455.0,0.1049,,,,,,,,,,2672.0,1371.0,0.2811,,,
189,1,4,2820.0,1272.0,0.2416,2448.0,1608.0,0.1146,,,,,,,2692.0,1584.0,0.297,2684.0,1372.0,0.1326,,,
189,4,4,2820.0,1272.0,0.2416,2448.0,1608.0,0.1146,,,,,,,2692.0,1584.0,0.297,2684.0,1372.0,0.1326,,,
192,1,4,2832.0,1265.0,0.2222,2468.0,1613.0,0.1213,,,,,,,2704.0,1589.0,0.2769,2692.0,1369.0,0.6526,,,
192,4,4,2832.0,1265.0,0.2222,2468.0,1613.0,0.1213,,,,,,,2704.0,1589.0,0.2769,2692.0,1369.0,0.6526,,,
195,1,4,2836.0,1254.0,0.1974,2484.0,1618.0,0.122,,,,,,,2724.0,1582.0,0.1538,2592.0,1558.0,0.6345,,,
195,4,4,2836.0,1254.0,0.1974,2484.0,1618.0,0.122,,,,,,,2724.0,1582.0,0.1538,2592.0,1558.0,0.6345,,,
198,1,3,2844.0,1248.0,0.1801,2500.0,1624.0,0.1278,,,,,,,,,,2716.0,1360.0,0.4169,,,
198,4,3,2844.0,1248.0,0.1801,2500.0,1624.0,0.1278,,,,,,,,,,2716.0,1360.0,0.4169,,,
