frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
348,1,7,1705.0,662.0,0.5468,1701.0,654.0,0.1074,2073.0,854.0,0.3072,1769.0,810.0,0.1262,1865.0,682.0,0.3684,1857.0,766.0,0.4527,2029.0,698.0,0.1117
351,1,6,1713.0,669.0,0.6341,,,,2081.0,869.0,0.3088,1761.0,797.0,0.1734,1873.0,693.0,0.3831,1857.0,769.0,0.3586,2025.0,705.0,0.1249
354,1,6,1713.0,676.0,0.8517,,,,2093.0,884.0,0.1776,1773.0,816.0,0.246,1877.0,700.0,0.3334,1857.0,772.0,0.7044,2085.0,688.0,0.1143
357,1,6,1713.0,672.0,0.7562,,,,2081.0,872.0,0.1821,1781.0,820.0,0.1903,1881.0,700.0,0.3403,1857.0,772.0,0.7415,2021.0,860.0,0.1206
360,1,5,1710.0,665.0,0.9001,,,,2074.0,873.0,0.1741,1778.0,821.0,0.1597,1878.0,701.0,0.3109,1854.0,769.0,0.5907,,,
363,1,6,1708.0,658.0,0.8998,,,,2068.0,870.0,0.2428,1776.0,818.0,0.136,1872.0,698.0,0.2949,1848.0,762.0,0.6272,2032.0,850.0,0.1833
366,1,6,1699.0,652.0,0.9298,,,,2067.0,872.0,0.1259,1771.0,812.0,0.1104,1871.0,696.0,0.3057,1839.0,756.0,0.5358,2047.0,840.0,0.1308
369,1,5,1693.0,646.0,0.9579,,,,2069.0,862.0,0.1923,,,,1865.0,690.0,0.1904,1829.0,746.0,1.3212,2037.0,838.0,0.1392
372,1,5,1688.0,640.0,0.9314,,,,,,,1720.0,740.0,0.1257,1848.0,676.0,0.255,1824.0,740.0,1.1771,2056.0,832.0,0.1417
375,1,4,1677.0,631.0,0.867,,,,,,,,,,1841.0,671.0,0.2077,1809.0,731.0,0.6134,2053.0,823.0,0.1892
