frame,class_id,class_name,confidence,bbox
645,8,boat,0.5796121954917908,"[1500.4603271484375, 344.6575012207031, 1598.833740234375, 416.8891296386719]"
645,8,boat,0.2005351185798645,"[927.5089111328125, 557.7333984375, 1271.6455078125, 724.8890991210938]"
660,8,boat,0.5668281316757202,"[1510.7509765625, 353.88995361328125, 1613.125244140625, 431.55084228515625]"
660,8,boat,0.5344886779785156,"[904.1061401367188, 556.7821655273438, 1313.163330078125, 741.9406127929688]"
675,8,boat,0.6149786114692688,"[1523.3756103515625, 374.8516845703125, 1619.7249755859375, 447.01153564453125]"
675,14,bird,0.22876466810703278,"[1021.3295288085938, 550.2183837890625, 1279.691650390625, 742.1185913085938]"
690,8,boat,0.6380060911178589,"[1534.5172119140625, 391.55767822265625, 1629.4346923828125, 461.243408203125]"
690,0,person,0.2588805556297302,"[933.018310546875, 550.1481323242188, 1328.5579833984375, 764.5499267578125]"
705,8,boat,0.5817497372627258,"[1548.3782958984375, 403.9310302734375, 1636.2615966796875, 477.6800537109375]"
720,8,boat,0.575491189956665,"[1557.1578369140625, 418.3160095214844, 1646.9739990234375, 489.6938171386719]"
720,8,boat,0.389924019575119,"[0.24521827697753906, 610.1246948242188, 44.54621505737305, 640.501708984375]"
735,8,boat,0.579959511756897,"[1571.03076171875, 428.9862976074219, 1659.3260498046875, 501.3623046875]"
735,8,boat,0.21795722842216492,"[1007.0354614257812, 555.5149536132812, 1297.2603759765625, 801.2078857421875]"
750,8,boat,0.5596815347671509,"[1582.503662109375, 437.2044982910156, 1672.9449462890625, 508.50823974609375]"
750,8,boat,0.4147428870201111,"[1007.4056396484375, 558.9432373046875, 1308.146484375, 811.664306640625]"
765,8,boat,0.6330191493034363,"[1001.7652587890625, 565.841552734375, 1306.8665771484375, 817.2210083007812]"
765,8,boat,0.5140947699546814,"[1596.958740234375, 444.0129089355469, 1693.002685546875, 515.392333984375]"
765,14,bird,0.32742470502853394,"[47.264190673828125, 905.7874145507812, 181.06898498535156, 966.3305053710938]"
780,8,boat,0.5981053113937378,"[1610.4290771484375, 451.9098205566406, 1702.0301513671875, 523.9295043945312]"
780,14,bird,0.44584617018699646,"[997.2220458984375, 568.7704467773438, 1319.414794921875, 833.56640625]"
780,8,boat,0.24662482738494873,"[996.2334594726562, 568.2892456054688, 1316.78955078125, 831.3760986328125]"
795,14,bird,0.5805866122245789,"[999.1012573242188, 571.086181640625, 1351.9754638671875, 840.4216918945312]"
795,0,person,0.5258001089096069,"[998.3734130859375, 566.2108764648438, 1353.151611328125, 840.8531494140625]"
795,8,boat,0.48649606108665466,"[1625.2906494140625, 452.91815185546875, 1714.991455078125, 526.8550415039062]"
795,14,bird,0.228700652718544,"[46.775184631347656, 904.6461181640625, 182.6407470703125, 968.6044921875]"
795,8,boat,0.21497413516044617,"[1000.655517578125, 570.4531860351562, 1350.8143310546875, 840.346435546875]"
810,8,boat,0.5532585382461548,"[1011.347412109375, 575.40625, 1359.6524658203125, 846.9651489257812]"
810,8,boat,0.4576019048690796,"[1639.5516357421875, 458.8633117675781, 1730.7623291015625, 532.0455932617188]"
810,0,person,0.20182077586650848,"[1008.5256958007812, 572.9744262695312, 1360.912109375, 846.3219604492188]"
825,8,boat,0.5269291996955872,"[1655.9776611328125, 462.3843688964844, 1745.22216796875, 533.27099609375]"
825,8,boat,0.23028306663036346,"[988.0951538085938, 581.0816040039062, 1358.71923828125, 848.2566528320312]"
840,8,boat,0.3768117427825928,"[1671.901611328125, 464.16192626953125, 1761.4716796875, 535.5992431640625]"
855,14,bird,0.4552522301673889,"[45.5265998840332, 906.1932373046875, 184.03912353515625, 1047.3865966796875]"
855,8,boat,0.36393845081329346,"[1690.6773681640625, 465.6530456542969, 1779.4696044921875, 536.273681640625]"
870,4,airplane,0.5459801554679871,"[590.7724609375, 492.7068786621094, 1136.94677734375, 789.6555786132812]"
870,14,bird,0.43327227234840393,"[41.67999267578125, 905.5638427734375, 187.3970184326172, 1051.5025634765625]"
870,8,boat,0.2993587553501129,"[586.7626953125, 494.8411560058594, 1136.966064453125, 787.7816772460938]"
870,8,boat,0.2415601760149002,"[1328.5606689453125, 285.6138916015625, 1574.61083984375, 350.1553649902344]"
885,8,boat,0.5231905579566956,"[578.6697387695312, 479.3616943359375, 1140.445556640625, 787.0025024414062]"
885,8,boat,0.24260473251342773,"[1315.1766357421875, 288.51263427734375, 1565.9678955078125, 353.0248107910156]"
900,8,boat,0.29758894443511963,"[567.5304565429688, 468.81298828125, 1144.043701171875, 787.9874877929688]"
900,8,boat,0.23278413712978363,"[1304.4942626953125, 284.60479736328125, 1560.745361328125, 350.9070129394531]"
915,14,bird,0.6342876553535461,"[565.7838134765625, 457.8619079589844, 1162.255126953125, 785.496826171875]"
915,8,boat,0.29193881154060364,"[1295.08203125, 279.9826354980469, 1547.542724609375, 346.799072265625]"
930,14,bird,0.6811501979827881,"[564.3544311523438, 449.6282043457031, 1157.2554931640625, 787.1046752929688]"
930,8,boat,0.37076184153556824,"[1289.607177734375, 283.9215087890625, 1538.768310546875, 350.7983093261719]"
945,8,boat,0.36689895391464233,"[1286.0673828125, 284.7583923339844, 1536.612060546875, 352.94232177734375]"
945,14,bird,0.3404470980167389,"[575.7512817382812, 443.4542541503906, 1481.86669921875, 790.1915283203125]"
945,14,bird,0.26339322328567505,"[574.8975219726562, 444.4095153808594, 1111.0079345703125, 787.2031860351562]"
960,14,bird,0.5316857695579529,"[590.33349609375, 441.3371887207031, 1494.9888916015625, 790.8096313476562]"
960,8,boat,0.37208226323127747,"[1284.613037109375, 285.39617919921875, 1534.916259765625, 353.85791015625]"
960,14,bird,0.2838517725467682,"[584.8910522460938, 442.5418395996094, 1216.60693359375, 788.199462890625]"
975,14,bird,0.44752609729766846,"[603.6029663085938, 442.2745056152344, 1247.2470703125, 790.1550903320312]"
975,8,boat,0.33062297105789185,"[1278.0506591796875, 289.77099609375, 1532.685546875, 354.9559020996094]"
990,14,bird,0.42490315437316895,"[637.9189453125, 441.69378662109375, 1179.312744140625, 784.080322265625]"
990,14,bird,0.20463885366916656,"[640.0062255859375, 440.86669921875, 1515.9041748046875, 784.9461059570312]"
1005,14,bird,0.7852495908737183,"[705.9052734375, 442.0843505859375, 1193.4503173828125, 783.4775390625]"
1005,8,boat,0.255981981754303,"[1269.577392578125, 290.26422119140625, 1526.1224365234375, 355.5491027832031]"
1020,14,bird,0.46483585238456726,"[763.804443359375, 453.6499328613281, 1193.0732421875, 782.6541748046875]"
1020,8,boat,0.4158720374107361,"[1278.406494140625, 291.7833251953125, 1529.0511474609375, 358.1875305175781]"
1020,8,boat,0.3444432318210602,"[764.2860107421875, 454.1151123046875, 1194.332275390625, 781.7531127929688]"
1035,8,boat,0.26550111174583435,"[1283.42578125, 295.48406982421875, 1534.3359375, 360.84722900390625]"
1035,14,bird,0.2113521248102188,"[814.8526611328125, 466.5711364746094, 1202.1529541015625, 787.5033569335938]"
1050,0,person,0.5862749218940735,"[1122.705810546875, 739.9071044921875, 1167.462646484375, 793.9766845703125]"
1050,8,boat,0.4709419310092926,"[937.468505859375, 477.8855895996094, 1166.381103515625, 793.11865234375]"
1050,8,boat,0.46588510274887085,"[1289.804443359375, 303.9353332519531, 1538.091552734375, 367.74676513671875]"
1065,8,boat,0.5991805791854858,"[925.8275756835938, 490.0003967285156, 1181.615478515625, 794.4549560546875]"
1065,0,person,0.22160527110099792,"[1123.458740234375, 718.1312866210938, 1178.713623046875, 794.9645385742188]"
1065,8,boat,0.21347752213478088,"[1297.6300048828125, 314.677734375, 1547.314453125, 385.01971435546875]"
1080,8,boat,0.686743974685669,"[914.4972534179688, 494.9296875, 1190.02587890625, 798.27099609375]"
1080,8,boat,0.29576143622398376,"[1293.10693359375, 324.59228515625, 1542.5328369140625, 384.059814453125]"
1095,8,boat,0.3631140887737274,"[901.8294067382812, 495.79559326171875, 1284.6199951171875, 797.731201171875]"
1125,14,bird,0.4344020187854767,"[569.7943725585938, 656.440673828125, 871.2308349609375, 743.7650756835938]"
1140,14,bird,0.339574933052063,"[568.7406616210938, 655.2630615234375, 879.6685791015625, 745.3756713867188]"
1140,8,boat,0.30248403549194336,"[1437.6427001953125, 269.6818542480469, 1685.6671142578125, 340.0716857910156]"
1140,14,bird,0.21039819717407227,"[573.3556518554688, 653.1845092773438, 971.2705688476562, 754.41162109375]"
1155,8,boat,0.23739823698997498,"[1443.947021484375, 271.6040954589844, 1694.965576171875, 345.08404541015625]"
1170,8,boat,0.22058919072151184,"[1448.002685546875, 275.8297119140625, 1705.5911865234375, 343.973876953125]"
1185,8,boat,0.20716425776481628,"[561.4532470703125, 603.8117065429688, 1177.2066650390625, 779.1031494140625]"
1185,37,surfboard,0.20228342711925507,"[560.7727661132812, 655.0551147460938, 1028.114501953125, 769.8040161132812]"
1200,4,airplane,0.3676730692386627,"[560.2406616210938, 567.7051391601562, 1170.0545654296875, 784.1303100585938]"
1200,8,boat,0.27859872579574585,"[1460.773681640625, 278.49700927734375, 1718.369384765625, 346.3387756347656]"
1215,4,airplane,0.39717620611190796,"[559.8593139648438, 545.2247924804688, 1178.167236328125, 790.2025146484375]"
1215,8,boat,0.28852808475494385,"[1470.2548828125, 278.8890380859375, 1730.43310546875, 346.81915283203125]"
1245,8,boat,0.2020491361618042,"[1481.8062744140625, 274.7701110839844, 1747.6116943359375, 342.55364990234375]"
1275,8,boat,0.2262275069952011,"[1501.3045654296875, 266.5538635253906, 1766.7261962890625, 335.8546142578125]"
1290,4,airplane,0.21143320202827454,"[574.0146484375, 490.7606506347656, 1189.661376953125, 790.0276489257812]"
1305,8,boat,0.24986736476421356,"[1531.649169921875, 255.2053985595703, 1798.2987060546875, 324.8674621582031]"
1320,8,boat,0.3773810863494873,"[1542.459228515625, 256.02557373046875, 1811.909912109375, 321.8235168457031]"
1335,8,boat,0.2591018080711365,"[1555.69189453125, 243.28729248046875, 1823.16650390625, 315.6343688964844]"
1335,14,bird,0.21874091029167175,"[811.0523071289062, 444.87103271484375, 1301.5313720703125, 782.8154296875]"
1350,8,boat,0.3617570102214813,"[1564.5889892578125, 242.89022827148438, 1837.2652587890625, 309.6557922363281]"
1350,8,boat,0.28409048914909363,"[1564.1356201171875, 260.8533935546875, 1839.0955810546875, 306.33489990234375]"
1365,8,boat,0.3035465478897095,"[1569.5885009765625, 240.02490234375, 1842.1834716796875, 307.7308044433594]"
1365,8,boat,0.2610297203063965,"[1570.4102783203125, 264.5058288574219, 1844.7498779296875, 303.0433044433594]"
1425,0,person,0.28231048583984375,"[811.751220703125, 748.0513916015625, 863.2210693359375, 793.7406005859375]"
1440,0,person,0.5142998695373535,"[820.7625732421875, 747.648193359375, 879.9697265625, 796.896240234375]"
1440,8,boat,0.2606135904788971,"[1554.122314453125, 139.99539184570312, 1900.379150390625, 229.69125366210938]"
1440,14,bird,0.22861553728580475,"[45.10581588745117, 905.5909423828125, 179.72659301757812, 978.6763916015625]"
1440,8,boat,0.21794022619724274,"[1554.0355224609375, 165.42889404296875, 1891.3875732421875, 225.5509796142578]"
1455,0,person,0.3409367799758911,"[839.3509521484375, 751.7135009765625, 889.5293579101562, 801.5350341796875]"
1455,14,bird,0.2861708402633667,"[839.7623291015625, 752.1298828125, 890.2769165039062, 801.8589477539062]"
1455,4,airplane,0.21411891281604767,"[656.0570068359375, 642.4263305664062, 891.9111328125, 800.1903686523438]"
1470,14,bird,0.42021939158439636,"[663.5182495117188, 663.9688110351562, 910.3746337890625, 809.7086791992188]"
1470,14,bird,0.4159127473831177,"[848.2365112304688, 753.2839965820312, 908.8737182617188, 809.0238647460938]"
1470,14,bird,0.3341319262981415,"[45.653926849365234, 907.6503295898438, 181.37759399414062, 1052.2327880859375]"
1470,8,boat,0.24900659918785095,"[1554.9771728515625, 140.71559143066406, 1892.2713623046875, 227.0072021484375]"
1470,8,boat,0.21277981996536255,"[1555.9090576171875, 164.8491668701172, 1891.4769287109375, 224.7089080810547]"
1485,14,bird,0.4917536973953247,"[861.53466796875, 743.899658203125, 928.4468994140625, 810.82470703125]"
1485,14,bird,0.3758706748485565,"[685.08251953125, 685.1204223632812, 925.327880859375, 810.0701293945312]"
