frame,class_name,confidence,bbox,num_merged,merged_classes
960,marine mammal,0.9332552552223206,"[587.2567138671875, 443.5113830566406, 1122.751953125, 790.33740234375]",2,"{'marine mammal': 0.9332552552223206, 'whale': 0.6459792852401733}"
990,marine mammal,0.5403421521186829,"[642.1351318359375, 440.50927734375, 1537.7633056640625, 788.4267578125]",2,"{'marine mammal': 0.5403421521186829, 'whale': 0.2513951063156128}"
990,dorsal fin,0.06928849220275879,"[643.2579956054688, 706.7325439453125, 1074.591064453125, 784.200439453125]",2,"{'dorsal fin': 0.06928849220275879, 'whale': 0.05831451341509819}"
1020,whale,0.6187241673469543,"[764.2911987304688, 453.5400695800781, 1199.4661865234375, 787.0984497070312]",2,"{'whale': 0.6187241673469543, 'marine mammal': 0.591958224773407}"
1050,marine mammal,0.8135597705841064,"[918.870849609375, 477.0626220703125, 1169.9906005859375, 795.2362670898438]",2,"{'marine mammal': 0.8135597705841064, 'whale': 0.7667987942695618}"
1050,whale,0.14140631258487701,"[927.9761352539062, 708.4103393554688, 1168.968505859375, 795.5571899414062]",1,{'whale': 0.14140631258487701}
1050,dorsal fin,0.0904965028166771,"[1122.9107666015625, 738.648193359375, 1168.474365234375, 794.1990966796875]",1,{'dorsal fin': 0.0904965028166771}
1080,whale,0.347482830286026,"[907.2140502929688, 494.99725341796875, 1190.534912109375, 800.8575439453125]",1,{'whale': 0.347482830286026}
1110,whale,0.7159931063652039,"[573.8754272460938, 662.3258666992188, 853.2357788085938, 744.6612548828125]",2,"{'whale': 0.7159931063652039, 'dorsal fin': 0.19584283232688904}"
1110,marine mammal,0.12185883522033691,"[1093.0667724609375, 697.3720703125, 1321.92919921875, 786.7919921875]",2,"{'marine mammal': 0.12185883522033691, 'dorsal fin': 0.08325297385454178}"
1140,marine mammal,0.8818488121032715,"[526.1717529296875, 654.1790771484375, 1233.3609619140625, 761.4873046875]",2,"{'marine mammal': 0.8818488121032715, 'whale': 0.10106588155031204}"
1140,whale,0.6631178259849548,"[1129.1666259765625, 707.6737670898438, 1227.397705078125, 755.6915283203125]",2,"{'whale': 0.6631178259849548, 'marine mammal': 0.08275437355041504}"
1140,whale,0.4945177733898163,"[566.364501953125, 654.0027465820312, 890.5128173828125, 745.577880859375]",2,"{'whale': 0.4945177733898163, 'marine mammal': 0.34709760546684265}"
1170,marine mammal,0.9528896808624268,"[565.479736328125, 641.6138305664062, 1180.0465087890625, 772.3178100585938]",1,{'marine mammal': 0.10592299699783325}
1170,dorsal fin,0.25772732496261597,"[1066.5029296875, 643.1446533203125, 1177.4791259765625, 771.0829467773438]",1,{'dorsal fin': 0.25772732496261597}
1200,marine mammal,0.9686461091041565,"[558.3511962890625, 566.5435180664062, 1169.1302490234375, 783.040283203125]",1,{'marine mammal': 0.9686461091041565}
1200,dorsal fin,0.07138034701347351,"[1027.0777587890625, 568.2061767578125, 1168.1060791015625, 781.9578247070312]",1,{'dorsal fin': 0.07138034701347351}
1200,marine mammal,0.05528026074171066,"[559.3529052734375, 654.613037109375, 1068.5501708984375, 776.9247436523438]",1,{'marine mammal': 0.05528026074171066}
1230,marine mammal,0.8496260643005371,"[543.09033203125, 524.9483642578125, 1182.9754638671875, 793.0147705078125]",1,{'marine mammal': 0.8496260643005371}
1260,marine mammal,0.8672243356704712,"[542.70849609375, 497.2679443359375, 1194.0711669921875, 799.0101928710938]",1,{'marine mammal': 0.8672243356704712}
1290,marine mammal,0.731561005115509,"[577.2271728515625, 489.24774169921875, 1189.02294921875, 791.7237548828125]",1,{'marine mammal': 0.731561005115509}
1290,dorsal fin,0.0612388551235199,"[952.0264892578125, 488.98974609375, 1187.4261474609375, 787.6827392578125]",1,{'dorsal fin': 0.0612388551235199}
1290,dorsal fin,0.0601273775100708,"[569.7350463867188, 725.5194702148438, 631.2880249023438, 768.36474609375]",1,{'dorsal fin': 0.0601273775100708}
1290,dorsal fin,0.05792219936847687,"[715.459716796875, 742.1716918945312, 962.2913818359375, 790.8392944335938]",1,{'dorsal fin': 0.05792219936847687}
1320,marine mammal,0.6283063292503357,"[580.53076171875, 463.3140563964844, 1174.69970703125, 790.1339721679688]",2,"{'marine mammal': 0.5191751718521118, 'whale': 0.5300426483154297}"
1320,dorsal fin,0.05741798132658005,"[1028.0721435546875, 764.9254760742188, 1131.0509033203125, 796.5408325195312]",1,{'dorsal fin': 0.05741798132658005}
1350,whale,0.5728135704994202,"[882.3663940429688, 439.8157653808594, 1184.6357421875, 782.235595703125]",2,"{'whale': 0.5728135704994202, 'marine mammal': 0.06584540009498596}"
1350,marine mammal,0.24199599027633667,"[789.4696655273438, 439.675048828125, 1457.63525390625, 787.6585693359375]",2,"{'marine mammal': 0.24199599027633667, 'whale': 0.13178884983062744}"
1380,whale,0.11110108345746994,"[622.5819091796875, 444.2127685546875, 1251.02001953125, 781.8314208984375]",1,{'whale': 0.11110108345746994}
1380,dorsal fin,0.05292792245745659,"[933.4569091796875, 444.8194885253906, 1120.096435546875, 769.4329833984375]",1,{'dorsal fin': 0.05292792245745659}
