frame,class_name,confidence,bbox,num_merged,merged_classes
1095,marine mammal,0.1739940345287323,"[1461.248046875, 1239.1820068359375, 1948.5147705078125, 1640.6331787109375]",2,"{'marine mammal': 0.1739940345287323, 'whale': 0.06248142197728157}"
1095,marine mammal,0.08247598260641098,"[1453.123291015625, 1234.6343994140625, 2227.0048828125, 1791.2911376953125]",2,"{'marine mammal': 0.08247598260641098, 'whale': 0.057301878929138184}"
1110,whale,0.5093392133712769,"[1471.424072265625, 1167.1995849609375, 1737.1556396484375, 1372.74462890625]",1,{'whale': 0.5093392133712769}
1110,marine mammal,0.08475097268819809,"[1470.8751220703125, 1167.42529296875, 1910.824951171875, 1559.3555908203125]",1,{'marine mammal': 0.08475097268819809}
1110,marine mammal,0.06629377603530884,"[1578.1834716796875, 1307.3822021484375, 2242.057861328125, 1919.0072021484375]",1,{'marine mammal': 0.06629377603530884}
1125,marine mammal,0.4155683219432831,"[1476.1890869140625, 1002.296630859375, 1812.7138671875, 1443.1875]",1,{'marine mammal': 0.4155683219432831}
1125,marine mammal,0.1747838258743286,"[1473.43505859375, 1002.3110961914062, 2138.22802734375, 1881.278076171875]",1,{'marine mammal': 0.1747838258743286}
1125,whale,0.07978089153766632,"[1477.371826171875, 1004.9293212890625, 1687.76953125, 1291.93408203125]",2,"{'whale': 0.07978089153766632, 'dorsal fin': 0.054676663130521774}"
1140,whale,0.15511709451675415,"[1549.2276611328125, 816.6209106445312, 1704.80029296875, 1148.3607177734375]",2,"{'whale': 0.08187828958034515, 'marine mammal': 0.11321389675140381}"
1140,marine mammal,0.0729721412062645,"[1501.50537109375, 817.0726318359375, 1768.1158447265625, 1350.131103515625]",1,{'marine mammal': 0.0729721412062645}
1155,marine mammal,0.2244192659854889,"[1620.7723388671875, 730.5034790039062, 1765.7449951171875, 1221.158203125]",2,"{'marine mammal': 0.2244192659854889, 'whale': 0.06545668095350266}"
1170,marine mammal,0.5045796632766724,"[1640.835205078125, 767.2461547851562, 1801.640625, 1309.0546875]",2,"{'marine mammal': 0.5045796632766724, 'whale': 0.14180229604244232}"
1185,whale,0.2666102349758148,"[1675.00927734375, 860.6239624023438, 1829.302734375, 1342.564453125]",1,{'whale': 0.2666102349758148}
1200,whale,0.06931118667125702,"[1700.63818359375, 849.1668090820312, 1839.693603515625, 1321.608154296875]",1,{'whale': 0.06931118667125702}
1215,marine mammal,0.6590026021003723,"[1705.70654296875, 834.8948364257812, 1850.794921875, 1347.7156982421875]",2,"{'marine mammal': 0.6590026021003723, 'whale': 0.5446715354919434}"
1230,whale,0.2887999713420868,"[1713.3306884765625, 839.6836547851562, 1862.0584716796875, 1327.36962890625]",2,"{'whale': 0.2887999713420868, 'marine mammal': 0.2195712774991989}"
1245,marine mammal,0.4280925989151001,"[1711.2052001953125, 846.9005126953125, 1857.1845703125, 1376.16650390625]",2,"{'marine mammal': 0.4280925989151001, 'whale': 0.3425440490245819}"
1260,marine mammal,0.33323192596435547,"[1718.59716796875, 862.6263427734375, 1865.943603515625, 1391.2913818359375]",2,"{'marine mammal': 0.33323192596435547, 'whale': 0.18015806376934052}"
1275,marine mammal,0.9048147201538086,"[1710.7357177734375, 873.47900390625, 1871.73046875, 1404.24462890625]",2,"{'marine mammal': 0.9048147201538086, 'whale': 0.14913594722747803}"
1290,whale,0.09180503338575363,"[1708.5552978515625, 890.255126953125, 1872.4390869140625, 1400.3551025390625]",2,"{'whale': 0.09180503338575363, 'marine mammal': 0.07304801046848297}"
1305,marine mammal,0.650187075138092,"[1717.8680419921875, 916.7545166015625, 1876.1964111328125, 1442.279052734375]",2,"{'marine mammal': 0.650187075138092, 'whale': 0.20766471326351166}"
1305,whale,0.06499690562486649,"[1724.2686767578125, 919.22021484375, 1872.2186279296875, 1193.2269287109375]",1,{'whale': 0.06499690562486649}
1320,marine mammal,0.4594683349132538,"[1728.780029296875, 928.2301025390625, 1892.42724609375, 1416.66064453125]",2,"{'marine mammal': 0.4594683349132538, 'whale': 0.28488752245903015}"
1335,marine mammal,0.8916107416152954,"[1747.587158203125, 896.8721923828125, 1900.718994140625, 1386.8232421875]",2,"{'marine mammal': 0.8916107416152954, 'whale': 0.35805532336235046}"
1350,marine mammal,0.09798833727836609,"[1754.794677734375, 839.3602294921875, 1913.0626220703125, 1312.8154296875]",1,{'marine mammal': 0.09798833727836609}
1365,marine mammal,0.7704178690910339,"[1791.83642578125, 830.6840209960938, 1962.211669921875, 1353.457763671875]",2,"{'marine mammal': 0.7704178690910339, 'whale': 0.07462594658136368}"
1365,whale,0.050436217337846756,"[1802.8309326171875, 831.2706298828125, 1954.7960205078125, 1104.64013671875]",1,{'whale': 0.050436217337846756}
1380,marine mammal,0.7358189225196838,"[1866.2984619140625, 885.4019165039062, 2018.5111083984375, 1411.9322509765625]",2,"{'marine mammal': 0.7358189225196838, 'whale': 0.5039569139480591}"
1395,marine mammal,0.46496230363845825,"[1925.9012451171875, 976.2152709960938, 2081.12109375, 1485.399658203125]",2,"{'marine mammal': 0.46496230363845825, 'whale': 0.10764406621456146}"
1410,marine mammal,0.3285803496837616,"[1999.2725830078125, 1107.86865234375, 2156.09716796875, 1629.60498046875]",2,"{'marine mammal': 0.3285803496837616, 'whale': 0.06511221826076508}"
1425,marine mammal,0.5470709204673767,"[2072.13818359375, 1181.1688232421875, 2212.6318359375, 1712.4034423828125]",2,"{'marine mammal': 0.5470709204673767, 'whale': 0.4548000991344452}"
1440,marine mammal,0.5341474413871765,"[2074.5087890625, 1163.76904296875, 2251.20849609375, 1681.62158203125]",2,"{'marine mammal': 0.5341474413871765, 'whale': 0.24258655309677124}"
1440,whale,0.060755062848329544,"[2081.555419921875, 1164.9500732421875, 2242.354736328125, 1420.1591796875]",1,{'whale': 0.060755062848329544}
